name,name_hi,name_gu
Gujarat,गुजरात,ગુજરાત
Rajasthan,राजस्थान,રાજસ્થાન
Uttar Pradesh,उत्तर प्रदेश,ઉત્તર પ્રદેશ
Punjab,पंजाब,પંજાબ
Maharashtra,महाराष्ट्र,મહારાષ્ટ્ર
Madhya Pradesh,मध्य प्रदेश,મધ્ય પ્રદેશ
Bihar,बिहार,બિહાર
